Date,Open,High,Low,Close,Adj Close,Volume
2022-08-05,36.700001,37.700001,36.689999,37.520000,27.604218,14332200
2022-08-08,37.619999,39.400002,37.619999,39.330002,28.935871,24523600
2022-08-09,39.740002,40.099998,39.439999,39.849998,29.318443,16911500
2022-08-10,40.250000,40.250000,39.270000,39.709999,29.215445,15755100
2022-08-11,40.180000,40.509998,38.860001,38.959999,28.663654,31853400
2022-08-12,31.940001,34.900002,31.360001,34.880001,31.022352,52964400
2022-08-15,33.889999,35.270000,33.419998,34.759998,30.915621,29426900
2022-08-16,34.810001,35.389999,34.689999,35.160000,31.271383,12902900
2022-08-17,34.950001,36.380001,34.820000,36.330002,32.311985,19005700
2022-08-18,36.599998,37.230000,36.470001,36.810001,32.738899,14964500
2022-08-19,36.299999,36.549999,35.070000,35.310001,31.404795,21653900
2022-08-22,35.070000,36.110001,34.160000,35.869999,31.902859,19298900
2022-08-23,36.000000,37.320000,35.889999,37.220001,33.103554,19895400
2022-08-24,37.419998,37.930000,36.799999,37.470001,33.325905,16000400
2022-08-25,37.869999,38.299999,36.310001,37.090000,32.987930,19357900
2022-08-26,37.209999,37.459999,36.369999,37.459999,33.317009,12463200
2022-08-29,37.619999,38.759998,37.509998,38.270000,34.037426,21428300
2022-08-30,37.700001,37.820000,35.950001,36.110001,32.116318,22463400
2022-08-31,36.000000,37.459999,35.439999,37.169998,33.059082,36015200
2022-09-01,37.400002,37.900002,36.650002,37.840000,33.654984,26204000
2022-09-02,38.349998,38.709999,37.169998,37.290001,33.165810,21607500
2022-09-05,37.799999,37.959999,37.070000,37.209999,33.094658,12457600
2022-09-06,36.160000,36.470001,35.340000,35.900002,31.929543,28334900
2022-09-08,36.119999,36.540001,35.209999,35.540001,31.609358,14310900
2022-09-09,36.220001,36.450001,35.450001,35.480000,31.555992,9017600
2022-09-12,35.900002,36.500000,35.320000,35.330002,31.422585,15413700
2022-09-13,34.799999,35.310001,34.090000,34.259998,30.470921,25361200
2022-09-14,34.320000,35.189999,34.200001,34.680000,30.844471,11926000
2022-09-15,34.360001,34.880001,34.349998,34.599998,30.773317,9164700
2022-09-16,34.169998,34.580002,34.000000,34.410000,30.604332,34954800
2022-09-19,33.900002,35.029999,33.820000,34.820000,30.968987,24596800
2022-09-20,35.189999,35.380001,34.549999,34.759998,30.915621,21181600
2022-09-21,35.049999,35.279999,34.470001,34.689999,30.853363,16168700
2022-09-22,35.110001,35.560001,34.750000,35.400002,31.484842,27515600
2022-09-23,34.709999,34.810001,32.740002,32.900002,29.261335,48903800
2022-09-26,32.799999,33.209999,32.450001,32.480000,28.887785,18230500
2022-09-27,32.910000,33.060001,32.740002,32.869999,29.234652,17568400
2022-09-28,32.869999,33.000000,31.889999,32.639999,29.030090,17529400
2022-09-29,32.310001,32.880001,32.049999,32.669998,29.056770,24350900
2022-09-30,32.509998,33.700001,32.400002,33.080002,29.421429,28412400
2022-10-03,35.360001,36.200001,35.220001,36.009998,32.027374,46548300
2022-10-04,36.799999,36.820000,35.150002,35.299999,31.395899,26112400
2022-10-05,35.500000,36.790001,35.299999,36.549999,32.507652,24446100
2022-10-06,36.959999,37.730000,36.599998,37.630001,33.468208,23327000
2022-10-07,37.529999,38.410000,37.189999,37.439999,33.299221,18217500
2022-10-10,37.599998,37.810001,36.880001,37.099998,32.996822,12316500
2022-10-11,36.660000,37.279999,36.299999,36.740002,32.676640,20992200
2022-10-13,36.250000,38.520000,36.090000,37.889999,33.699451,24490200
2022-10-14,37.849998,37.919998,37.099998,37.150002,33.041294,19191500
2022-10-17,37.139999,37.599998,36.459999,36.910000,32.827839,26406000
2022-10-18,37.250000,37.740002,36.650002,37.740002,33.566044,18698100
2022-10-19,37.799999,39.279999,37.660000,39.139999,34.811203,21303100
2022-10-20,39.660000,40.290001,39.430000,40.189999,35.745075,27337800
2022-10-21,40.430000,42.080002,40.130001,41.560001,36.963558,32623200
2022-10-24,40.349998,40.619999,37.360001,37.450001,33.308117,33545600
2022-10-25,37.410000,37.720001,36.520000,36.889999,32.810051,24141600
2022-10-26,36.549999,36.930000,35.189999,36.220001,32.214149,25746100
2022-10-27,36.570000,36.880001,35.990002,36.330002,32.311985,25148100
2022-10-28,35.930000,36.220001,35.240002,35.779999,31.822813,27032800
2022-10-31,33.310001,34.639999,32.520000,33.259998,29.581518,55281200
2022-11-01,33.540001,33.900002,33.080002,33.369999,29.679354,34269700
2022-11-03,33.110001,33.849998,32.720001,33.459999,29.759399,24872100
2022-11-04,34.200001,34.330002,31.400000,31.709999,28.202946,29167600
2022-11-07,31.389999,31.900000,30.450001,30.629999,27.242392,27442700
2022-11-08,30.379999,30.900000,29.990000,30.629999,27.242392,19140100
2022-11-09,30.520000,31.180000,30.000000,30.059999,26.735432,15928500
2022-11-10,29.309999,30.240000,28.920000,29.690001,26.406353,39818600
2022-11-11,29.610001,31.160000,29.280001,30.700001,27.304651,34866200
2022-11-14,31.070000,32.020000,30.959999,31.549999,28.060640,19816400
2022-11-16,31.750000,31.980000,30.879999,31.200001,27.749352,25165000
2022-11-17,31.200001,31.290001,30.469999,30.959999,27.535894,30514800
2022-11-18,31.160000,31.389999,30.040001,30.389999,27.028934,27497600
2022-11-21,30.940001,31.290001,29.530001,30.280001,26.931101,33579600
